Player,BattingAverage
Dee Strange-Gordon,0.286
Johnny Cooney,0.286
Vern Stephens,0.286
David Ortiz,0.286
Adrián Beltré,0.286
Jack Glasscock,0.286
Tony Gonzalez,0.286
Vada Pinson,0.286
Red Kress,0.286
Edgar Renteria,0.286
Sparky Adams,0.286
Mickey Vernon,0.286
Woody English,0.286
Paul Lo Duca,0.286
Dick Groat,0.286
Bill White,0.286
Cesar Cedeno,0.285
Willie Wilson,0.285
Andy Pafko,0.285
Robin Yount,0.285
Miguel Tejada,0.285
Ezra Sutton,0.285
Eddie Waitkus,0.285
Al Rosen,0.285
Clyde Milan,0.285
Alan Trammell,0.285
Melky Cabrera,0.285
Starling Marte,0.285
Christian Yelich,0.285
Carl Yastrzemski,0.285
Walker Cooper,0.285
Jeff Conine,0.285
Carlos Guillen,0.285
Ted Simmons,0.285
Andre Ethier,0.285
Jack Clements,0.285
Carlos Lee,0.285
Lenny Dykstra,0.285
Garry Maddox,0.285
Max Carey,0.285
Yogi Berra,0.285
Fielder Jones,0.285
Ryne Sandberg,0.285
Carlos González,0.285
Edgardo Alfonzo,0.284
Johnny Damon,0.284
Johnny Temple,0.284
Del Ennis,0.284
Randy Winn,0.284
Fred McGriff,0.284
Jose Cruz,0.284
Casey Stengel,0.284
Joe Randa,0.284
Jimmie Wilson,0.284
Jim Edmonds,0.284
Andy High,0.284
Matt Kemp,0.284
Jacoby Ellsbury,0.284
Patsy Dougherty,0.284
Vic Power,0.284
Dan McGann,0.284
Justin Turner,0.284
Dick Bartell,0.284
Wally Schang,0.284
"Ken Griffey, Jr.",0.284
Kevin Mitchell,0.284
James Loney,0.284
Gene Woodling,0.284
Duffy Lewis,0.284
Amos Strunk,0.284
Rondell White,0.284
Nolan Arenado,0.284
Sid Gordon,0.283
Jim Delahanty,0.283
Don Slaught,0.283
Larry Doby,0.283
Jon Jay,0.283
Jose Reyes,0.283
Damaso Garcia,0.283
Aramis Ramirez,0.283
José Abreu,0.283
Fred Lynn,0.283
J.D. Martinez,0.283
Luis Gonzalez,0.283
Eric Young,0.283
Floyd Robinson,0.283
Delmon Young,0.283
Dave Cash,0.283
Glenn Beckert,0.283
Shawn Green,0.283
Lorenzo Cain,0.283
Dave Winfield,0.283
Prince Fielder,0.283
Mike Kreevich,0.283
Kent Hrbek,0.282
John Titus,0.282
Les Mann,0.282
Bruce Bochte,0.282
Yunel Escobar,0.282
Elmer Valo,0.282
Bill Skowron,0.282
Ken Singleton,0.282
Tim Salmon,0.282
George Case,0.282
Hideki Matsui,0.282
Fernando Vina,0.282
Juan Soto,0.282
Tom Paciorek,0.282
Dick Siebert,0.282
Brian Jordan,0.282
Tommy Henrich,0.282
Darin Erstad,0.282
B.J. Surhoff,0.282
Stan Spence,0.282
Willie Stargell,0.282
Pat Tabler,0.282
Al Bumbry,0.281
Gus Bell,0.281
Derrek Lee,0.281
Gary Matthews,0.281
Craig Biggio,0.281
Frank LaPorte,0.281
Justin Morneau,0.281
Denard Span,0.281
Maury Wills,0.281
Warren Cromartie,0.281
Jean Segura,0.281
Ed Konetchy,0.281
Ival Goodman,0.281
Hy Myers,0.281
Danny Litwhiler,0.281
Kevin Youkilis,0.281
Tilly Walker,0.281
Steve Sax,0.281
José Ramírez,0.281
Ketel Marte,0.281
Willie Kamm,0.281
Scott Rolen,0.281
Wally Pipp,0.281
José Iglesias,0.281
Harry Hooper,0.281
Rick Ferrell,0.281
Bernie Friberg,0.281
Bryce Harper,0.281
Scott Podsednik,0.281
Starlin Castro,0.281
Cleon Jones,0.281
Rafael Furcal,0.281
Bobby Avila,0.281
David Eckstein,0.28
Terry Moore,0.28
Alvin Davis,0.28
Jimmy Dykes,0.28
Terry Puhl,0.28
Manny Machado,0.28
A.J. Pierzynski,0.28
Joe Dugan,0.28
Steve Henderson,0.28
Mickey Hatcher,0.28
Corey Dickerson,0.28
Anthony Rendon,0.28
Jack Rowe,0.28
Candy LaChance,0.28
Angel Pagan,0.28
Jesus Alou,0.28
Carlos Delgado,0.28
Tony Cuccinello,0.28
Tommy Griffith,0.28
Buddy Bell,0.279
Hank Majeski,0.279
Andre Dawson,0.279
Rusty Staub,0.279
Johnny Groth,0.279
Jackie Jensen,0.279
Tony Perez,0.279
Roger Bresnahan,0.279
Wes Covington,0.279
Gus Suhr,0.279
Reed Johnson,0.279
Whit Merrifield,0.279
Vic Davalillo,0.279
David Justice,0.279
Felix Millan,0.279
Keith Moreland,0.279
Willie Davis,0.279
Whitey Lockman,0.279
John Valentin,0.279
Dave Bancroft,0.279
Carlos Beltran,0.279
Hunter Pence,0.279
Rafael Devers,0.279
Paul Konerko,0.279
Ralph Kiner,0.279
Ryan Klesko,0.279
Patsy Tebeau,0.279
Rickey Henderson,0.279
Bobby Bonilla,0.279
Mark Koenig,0.279
Chris Chambliss,0.279
Sam Mertes,0.279
Jay Payton,0.279
Mike Lowell,0.279
David Peralta,0.278
Dick Hoblitzell,0.278
Dusty Baker,0.278
Aubrey Huff,0.278
